timestamp,municipality_id,usage,total_capacity
2017-06-04 07:59:42,9,454,1332
2017-06-04 07:59:42,8,556,2947
2017-06-04 07:59:42,4,1090,3893
2017-06-04 07:59:42,0,204,2813
2017-06-04 07:59:42,7,718,2019
2017-06-04 07:59:42,5,70,587
2017-06-04 07:59:42,2,273,697
2017-06-04 07:59:42,1,129,397
2017-06-04 07:59:42,6,597,3113
2017-06-04 07:59:42,3,623,1930
2017-06-04 08:25:42,2,311,697
2017-06-04 08:25:42,9,487,1332
2017-06-04 08:25:42,6,687,3113
2017-06-04 08:25:42,7,789,2019
2017-06-04 08:25:42,4,1476,3893
2017-06-04 08:25:42,8,674,2947
2017-06-04 08:25:42,5,73,587
2017-06-04 08:25:42,3,770,1930
2017-06-04 08:25:42,0,247,2813
2017-06-04 08:25:42,1,138,397
2017-06-04 08:59:42,5,89,587
2017-06-04 08:59:42,9,527,1332
2017-06-04 08:59:42,3,967,1930
2017-06-04 08:59:42,2,355,697
2017-06-04 08:59:42,1,164,397
2017-06-04 08:59:42,8,857,2947
2017-06-04 08:59:42,4,2016,3893
2017-06-04 08:59:42,7,873,2019
2017-06-04 08:59:42,6,801,3113
2017-06-04 08:59:42,0,332,2813
2017-06-04 09:32:46,8,1045,2947
2017-06-04 09:32:46,9,599,1332
2017-06-04 09:32:46,6,941,3113
2017-06-04 09:32:46,4,2511,3893
2017-06-04 09:32:46,0,429,2813
2017-06-04 09:32:46,5,116,587
2017-06-04 09:32:46,1,213,397
2017-06-04 09:32:46,2,423,697
2017-06-04 09:32:46,7,1013,2019
2017-06-04 09:32:46,3,1130,1930
2017-06-04 09:59:48,5,159,587
2017-06-04 09:59:48,2,494,697
2017-06-04 09:59:48,8,1172,2947
2017-06-04 09:59:48,4,2811,3893
2017-06-04 09:59:48,7,1151,2019
2017-06-04 09:59:48,3,1263,1930
2017-06-04 09:59:48,1,245,397
2017-06-04 09:59:48,0,485,2813
2017-06-04 09:59:48,9,666,1332
2017-06-04 09:59:48,6,1061,3113
2017-06-04 10:26:49,1,273,397
2017-06-04 10:26:49,3,1333,1930
2017-06-04 10:26:49,5,186,587
2017-06-04 10:26:49,2,539,697
2017-06-04 10:26:49,9,724,1332
2017-06-04 10:26:49,0,534,2813
2017-06-04 10:26:49,6,1151,3113
2017-06-04 10:26:49,4,3044,3893
2017-06-04 10:26:49,7,1254,2019
2017-06-04 10:26:49,8,1266,2947
2017-06-04 10:59:48,4,3178,3893
2017-06-04 10:59:48,9,800,1332
2017-06-04 10:59:48,2,582,697
2017-06-04 10:59:48,8,1363,2947
2017-06-04 10:59:48,7,1373,2019
2017-06-04 10:59:48,0,583,2813
2017-06-04 10:59:48,6,1219,3113
2017-06-04 10:59:48,3,1396,1930
2017-06-04 10:59:48,5,228,587
2017-06-04 10:59:48,1,317,397
2017-06-04 11:25:47,4,3230,3893
2017-06-04 11:25:47,0,597,2813
2017-06-04 11:25:47,6,1250,3113
2017-06-04 11:25:47,8,1378,2947
2017-06-04 11:25:47,2,613,697
2017-06-04 11:25:47,7,1433,2019
2017-06-04 11:25:47,9,829,1332
2017-06-04 11:25:47,1,333,397
2017-06-04 11:25:47,3,1437,1930
2017-06-04 11:25:47,5,256,587
2017-06-04 11:59:44,5,268,587
2017-06-04 11:59:44,6,1297,3113
2017-06-04 11:59:44,3,1456,1930
2017-06-04 11:59:44,7,1479,2019
2017-06-04 11:59:44,8,1399,2947
2017-06-04 11:59:44,1,341,397
2017-06-04 11:59:44,9,845,1332
2017-06-04 11:59:44,4,3257,3893
2017-06-04 11:59:44,0,614,2813
2017-06-04 11:59:44,2,643,697
2017-06-04 12:29:45,2,657,697
2017-06-04 12:29:45,7,1493,2019
2017-06-04 12:29:45,3,1469,1930
2017-06-04 12:29:45,5,275,587
2017-06-04 12:29:45,9,845,1332
2017-06-04 12:29:45,0,613,2813
2017-06-04 12:29:45,4,3260,3893
2017-06-04 12:29:45,1,343,397
2017-06-04 12:29:45,8,1406,2947
2017-06-04 12:29:45,6,1306,3113
2017-06-04 13:02:48,8,1376,2947
2017-06-04 13:02:48,2,660,697
2017-06-04 13:02:48,1,342,397
2017-06-04 13:02:48,7,1470,2019
2017-06-04 13:02:48,3,1457,1930
2017-06-04 13:02:48,0,605,2813
2017-06-04 13:02:48,5,278,587
2017-06-04 13:02:48,6,1297,3113
2017-06-04 13:02:48,4,3241,3893
2017-06-04 13:02:48,9,819,1332
2017-06-04 13:29:45,3,1441,1930
2017-06-04 13:29:45,2,657,697
2017-06-04 13:29:45,5,272,587
2017-06-04 13:29:45,6,1282,3113
2017-06-04 13:29:45,4,3193,3893
2017-06-04 13:29:45,0,590,2813
2017-06-04 13:29:45,1,340,397
2017-06-04 13:29:45,9,820,1332
2017-06-04 13:29:45,7,1468,2019
2017-06-04 13:29:45,8,1369,2947
2017-06-04 14:02:47,4,3154,3893
2017-06-04 14:02:47,6,1271,3113
2017-06-04 14:02:47,9,824,1332
2017-06-04 14:02:47,7,1461,2019
2017-06-04 14:02:47,2,646,697
2017-06-04 14:02:47,1,341,397
2017-06-04 14:02:47,0,585,2813
2017-06-04 14:02:47,5,247,587
2017-06-04 14:02:47,3,1439,1930
2017-06-04 14:02:47,8,1361,2947
2017-06-04 14:29:49,9,802,1332
2017-06-04 14:29:49,1,331,397
2017-06-04 14:29:49,6,1247,3113
2017-06-04 14:29:49,7,1429,2019
2017-06-04 14:29:49,5,224,587
2017-06-04 14:29:49,2,636,697
2017-06-04 14:29:49,0,569,2813
2017-06-04 14:29:49,3,1438,1930
2017-06-04 14:29:49,8,1327,2947
2017-06-04 14:29:49,4,3122,3893
2017-06-04 14:57:13,0,538,2813
2017-06-04 14:57:13,4,3020,3893
2017-06-04 14:57:13,7,1355,2019
2017-06-04 14:57:13,9,762,1332
2017-06-04 14:57:13,2,602,697
2017-06-04 14:57:13,6,1178,3113
2017-06-04 14:57:13,8,1276,2947
2017-06-04 14:57:13,1,316,397
2017-06-04 14:57:13,5,201,587
2017-06-04 14:57:13,3,1390,1930
2017-06-04 15:30:14,2,581,697
2017-06-04 15:30:14,6,1136,3113
2017-06-04 15:30:14,0,520,2813
2017-06-04 15:30:14,3,1309,1930
2017-06-04 15:30:14,8,1222,2947
2017-06-04 15:30:14,4,2848,3893
2017-06-04 15:30:14,1,303,397
2017-06-04 15:30:14,5,174,587
2017-06-04 15:30:14,9,725,1332
2017-06-04 15:30:14,7,1297,2019
2017-06-04 16:04:12,0,470,2813
2017-06-04 16:04:12,8,1130,2947
2017-06-04 16:04:12,6,1028,3113
2017-06-04 16:04:12,3,1227,1930
2017-06-04 16:04:12,9,673,1332
2017-06-04 16:04:12,4,2665,3893
2017-06-04 16:04:12,7,1184,2019
2017-06-04 16:04:12,1,279,397
2017-06-04 16:04:12,2,520,697
2017-06-04 16:04:12,5,171,587
2017-06-04 16:31:14,7,1098,2019
2017-06-04 16:31:14,3,1084,1930
2017-06-04 16:31:14,0,415,2813
2017-06-04 16:31:14,8,1024,2947
2017-06-04 16:31:14,1,254,397
2017-06-04 16:31:14,5,152,587
2017-06-04 16:31:14,2,480,697
2017-06-04 16:31:14,4,2368,3893
2017-06-04 16:31:14,6,945,3113
2017-06-04 16:31:14,9,627,1332
2017-06-05 07:57:17,5,63,587
2017-06-05 07:57:17,9,462,1332
2017-06-05 07:57:17,1,155,397
2017-06-05 07:57:17,2,291,697
2017-06-05 07:57:17,4,1113,3893
2017-06-05 07:57:17,8,603,2947
2017-06-05 07:57:17,7,744,2019
2017-06-05 07:57:17,6,659,3113
2017-06-05 07:57:17,3,611,1930
2017-06-05 07:57:17,0,255,2813
2017-06-05 08:30:15,1,178,397
2017-06-05 08:30:15,5,68,587
2017-06-05 08:30:15,8,745,2947
2017-06-05 08:30:15,4,1608,3893
2017-06-05 08:30:15,6,769,3113
2017-06-05 08:30:15,9,496,1332
2017-06-05 08:30:15,7,826,2019
2017-06-05 08:30:15,2,339,697
2017-06-05 08:30:15,0,335,2813
2017-06-05 08:30:15,3,788,1930
2017-06-05 09:04:19,8,937,2947
2017-06-05 09:04:19,9,563,1332
2017-06-05 09:04:19,2,404,697
2017-06-05 09:04:19,7,958,2019
2017-06-05 09:04:19,4,2151,3893
2017-06-05 09:04:19,0,428,2813
2017-06-05 09:04:19,1,220,397
2017-06-05 09:04:19,5,80,587
2017-06-05 09:04:19,6,905,3113
2017-06-05 09:04:19,3,984,1930
2017-06-05 09:30:15,6,1012,3113
2017-06-05 09:30:15,2,473,697
2017-06-05 09:30:15,9,635,1332
2017-06-05 09:30:15,0,487,2813
2017-06-05 09:30:15,5,92,587
2017-06-05 09:30:15,1,265,397
2017-06-05 09:30:15,4,2561,3893
2017-06-05 09:30:15,7,1099,2019
2017-06-05 09:30:15,3,1147,1930
2017-06-05 09:30:15,8,1092,2947
2017-06-05 10:04:15,5,123,587
2017-06-05 10:04:15,6,1121,3113
2017-06-05 10:04:15,7,1255,2019
2017-06-05 10:04:15,3,1315,1930
2017-06-05 10:04:15,8,1230,2947
2017-06-05 10:04:15,2,545,697
2017-06-05 10:04:15,4,2966,3893
2017-06-05 10:04:15,9,719,1332
2017-06-05 10:04:15,0,556,2813
2017-06-05 10:04:15,1,319,397
2017-06-05 10:30:17,5,137,587
2017-06-05 10:30:17,9,770,1332
2017-06-05 10:30:17,8,1297,2947
2017-06-05 10:30:17,7,1348,2019
2017-06-05 10:30:17,6,1191,3113
2017-06-05 10:30:17,3,1388,1930
2017-06-05 10:30:17,4,3126,3893
2017-06-05 10:30:17,2,587,697
2017-06-05 10:30:17,0,595,2813
2017-06-05 10:30:17,1,346,397
2017-06-05 11:04:19,6,1259,3113
2017-06-05 11:04:19,4,3186,3893
2017-06-05 11:04:19,3,1419,1930
2017-06-05 11:04:19,0,612,2813
2017-06-05 11:04:19,2,628,697
2017-06-05 11:04:19,7,1420,2019
2017-06-05 11:04:19,5,157,587
2017-06-05 11:04:19,9,801,1332
2017-06-05 11:04:19,1,348,397
2017-06-05 11:04:19,8,1339,2947
2017-06-05 11:30:18,1,349,397
2017-06-05 11:30:18,3,1439,1930
2017-06-05 11:30:18,8,1349,2947
2017-06-05 11:30:18,6,1268,3113
2017-06-05 11:30:18,0,602,2813
2017-06-05 11:30:18,2,649,697
2017-06-05 11:30:18,4,3203,3893
2017-06-05 11:30:18,9,805,1332
2017-06-05 11:30:18,7,1445,2019
2017-06-05 11:30:18,5,171,587
2017-06-05 12:04:14,1,346,397
2017-06-05 12:04:14,3,1455,1930
2017-06-05 12:04:14,4,3222,3893
2017-06-05 12:04:14,8,1368,2947
2017-06-05 12:04:14,5,187,587
2017-06-05 12:04:14,2,659,697
2017-06-05 12:04:14,0,591,2813
2017-06-05 12:04:14,7,1468,2019
2017-06-05 12:04:14,6,1273,3113
2017-06-05 12:04:14,9,818,1332
2017-06-05 12:30:16,9,820,1332
2017-06-05 12:30:16,7,1481,2019
2017-06-05 12:30:16,2,670,697
2017-06-05 12:30:16,6,1287,3113
2017-06-05 12:30:16,0,589,2813
2017-06-05 12:30:16,5,192,587
2017-06-05 12:30:16,8,1380,2947
2017-06-05 12:30:16,4,3199,3893
2017-06-05 12:30:16,3,1446,1930
2017-06-05 12:30:16,1,345,397
2017-06-05 12:57:15,2,672,697
2017-06-05 12:57:15,5,184,587
2017-06-05 12:57:15,1,352,397
2017-06-05 12:57:15,4,3154,3893
2017-06-05 12:57:15,7,1499,2019
2017-06-05 12:57:15,0,595,2813
2017-06-05 12:57:15,8,1390,2947
2017-06-05 12:57:15,9,836,1332
2017-06-05 12:57:15,3,1427,1930
2017-06-05 12:57:15,6,1288,3113
2017-06-05 13:30:19,6,1257,3113
2017-06-05 13:30:19,0,592,2813
2017-06-05 13:30:19,5,188,587
2017-06-05 13:30:19,8,1395,2947
2017-06-05 13:30:19,3,1436,1930
2017-06-05 13:30:19,2,647,697
2017-06-05 13:30:19,7,1471,2019
2017-06-05 13:30:19,9,833,1332
2017-06-05 13:30:19,1,354,397
2017-06-05 13:30:19,4,3155,3893
2017-06-05 13:57:20,4,3149,3893
2017-06-05 13:57:20,7,1462,2019
2017-06-05 13:57:20,0,588,2813
2017-06-05 13:57:20,2,644,697
2017-06-05 13:57:20,9,827,1332
2017-06-05 13:57:20,6,1246,3113
2017-06-05 13:57:20,8,1384,2947
2017-06-05 13:57:20,3,1431,1930
2017-06-05 13:57:20,5,183,587
2017-06-05 13:57:20,1,354,397
2017-06-05 14:30:17,9,803,1332
2017-06-05 14:30:17,8,1359,2947
2017-06-05 14:30:17,2,629,697
2017-06-05 14:30:17,7,1423,2019
2017-06-05 14:30:17,5,167,587
2017-06-05 14:30:17,0,556,2813
2017-06-05 14:30:17,4,3081,3893
2017-06-05 14:30:17,6,1201,3113
2017-06-05 14:30:17,3,1418,1930
2017-06-05 14:30:17,1,345,397
2017-06-05 14:57:19,2,593,697
2017-06-05 14:57:19,7,1364,2019
2017-06-05 14:57:19,3,1387,1930
2017-06-05 14:57:19,9,780,1332
2017-06-05 14:57:19,4,2972,3893
2017-06-05 14:57:19,6,1144,3113
2017-06-05 14:57:19,0,530,2813
2017-06-05 14:57:19,5,154,587
2017-06-05 14:57:19,8,1323,2947
2017-06-05 14:57:19,1,335,397
2017-06-05 15:30:15,4,2791,3893
2017-06-05 15:30:15,0,491,2813
2017-06-05 15:30:15,8,1232,2947
2017-06-05 15:30:15,6,1065,3113
2017-06-05 15:30:15,7,1272,2019
2017-06-05 15:30:15,3,1312,1930
2017-06-05 15:30:15,9,717,1332
2017-06-05 15:30:15,5,138,587
2017-06-05 15:30:15,1,315,397
2017-06-05 15:30:15,2,564,697
2017-06-05 16:04:18,4,2580,3893
2017-06-05 16:04:18,2,522,697
2017-06-05 16:04:18,5,130,587
2017-06-05 16:04:18,7,1207,2019
2017-06-05 16:04:18,0,454,2813
2017-06-05 16:04:18,3,1212,1930
2017-06-05 16:04:18,1,293,397
2017-06-05 16:04:18,6,1001,3113
2017-06-05 16:04:18,9,694,1332
2017-06-05 16:04:18,8,1161,2947
2017-06-05 16:30:17,8,1063,2947
2017-06-05 16:30:17,5,123,587
2017-06-05 16:30:17,1,270,397
2017-06-05 16:30:17,2,474,697
2017-06-05 16:30:17,0,399,2813
2017-06-05 16:30:17,9,641,1332
2017-06-05 16:30:17,6,902,3113
2017-06-05 16:30:17,7,1106,2019
2017-06-05 16:30:17,4,2286,3893
2017-06-05 16:30:17,3,1058,1930
2017-06-06 07:57:25,0,183,2813
2017-06-06 07:57:25,4,1126,3893
2017-06-06 07:57:25,1,107,397
2017-06-06 07:57:25,2,365,697
2017-06-06 07:57:25,3,624,1930
2017-06-06 07:57:25,5,67,587
2017-06-06 07:57:25,7,769,2019
2017-06-06 07:57:25,6,701,3113
2017-06-06 07:57:25,8,554,2947
2017-06-06 07:57:25,9,413,1332
2017-06-06 08:30:20,7,862,2019
2017-06-06 08:30:20,5,72,587
2017-06-06 08:30:20,3,781,1930
2017-06-06 08:30:20,0,258,2813
2017-06-06 08:30:20,6,794,3113
2017-06-06 08:30:20,9,470,1332
2017-06-06 08:30:20,2,401,697
2017-06-06 08:30:20,4,1570,3893
2017-06-06 08:30:20,8,712,2947
2017-06-06 08:30:20,1,142,397
2017-06-06 08:57:22,1,166,397
2017-06-06 08:57:22,9,502,1332
2017-06-06 08:57:22,3,946,1930
2017-06-06 08:57:22,6,905,3113
2017-06-06 08:57:22,2,456,697
2017-06-06 08:57:22,4,1983,3893
2017-06-06 08:57:22,7,949,2019
2017-06-06 08:57:22,0,333,2813
2017-06-06 08:57:22,5,79,587
2017-06-06 08:57:22,8,867,2947
2017-06-06 09:30:20,9,559,1332
2017-06-06 09:30:20,8,992,2947
2017-06-06 09:30:20,2,514,697
2017-06-06 09:30:20,3,1128,1930
2017-06-06 09:30:20,4,2426,3893
2017-06-06 09:30:20,0,398,2813
2017-06-06 09:30:20,5,104,587
2017-06-06 09:30:20,1,201,397
2017-06-06 09:30:20,6,1008,3113
2017-06-06 09:30:20,7,1064,2019
2017-06-06 10:03:20,8,1128,2947
2017-06-06 10:03:20,6,1114,3113
2017-06-06 10:03:20,4,2711,3893
2017-06-06 10:03:20,1,237,397
2017-06-06 10:03:20,3,1239,1930
2017-06-06 10:03:20,7,1179,2019
2017-06-06 10:03:20,0,470,2813
2017-06-06 10:03:20,5,144,587
2017-06-06 10:03:20,9,630,1332
2017-06-06 10:03:20,2,558,697
2017-06-06 10:30:20,3,1294,1930
2017-06-06 10:30:20,6,1167,3113
2017-06-06 10:30:20,4,2859,3893
2017-06-06 10:30:20,2,587,697
2017-06-06 10:30:20,0,521,2813
2017-06-06 10:30:20,7,1270,2019
2017-06-06 10:30:20,5,169,587
2017-06-06 10:30:20,8,1231,2947
2017-06-06 10:30:20,9,692,1332
2017-06-06 10:30:20,1,277,397
2017-06-06 10:57:20,4,2966,3893
2017-06-06 10:57:20,6,1193,3113
2017-06-06 10:57:20,2,600,697
2017-06-06 10:57:20,0,549,2813
2017-06-06 10:57:20,7,1324,2019
2017-06-06 10:57:20,3,1344,1930
2017-06-06 10:57:20,8,1281,2947
2017-06-06 10:57:20,1,296,397
2017-06-06 10:57:20,9,733,1332
2017-06-06 10:57:20,5,186,587
2017-06-06 11:30:22,1,309,397
2017-06-06 11:30:22,4,3052,3893
2017-06-06 11:30:22,2,623,697
2017-06-06 11:30:22,0,578,2813
2017-06-06 11:30:22,7,1372,2019
2017-06-06 11:30:22,8,1312,2947
2017-06-06 11:30:22,5,200,587
2017-06-06 11:30:22,9,758,1332
2017-06-06 11:30:22,6,1238,3113
2017-06-06 11:30:22,3,1375,1930
2017-06-06 12:04:24,5,208,587
2017-06-06 12:04:24,0,601,2813
2017-06-06 12:04:24,4,3126,3893
2017-06-06 12:04:24,6,1282,3113
2017-06-06 12:04:24,7,1414,2019
2017-06-06 12:04:24,9,766,1332
2017-06-06 12:04:24,3,1403,1930
2017-06-06 12:04:24,1,321,397
2017-06-06 12:04:24,2,657,697
2017-06-06 12:04:24,8,1339,2947
2017-06-06 12:30:24,8,1357,2947
2017-06-06 12:30:24,7,1445,2019
2017-06-06 12:30:24,2,668,697
2017-06-06 12:30:24,0,609,2813
2017-06-06 12:30:24,5,215,587
2017-06-06 12:30:24,1,331,397
2017-06-06 12:30:24,3,1417,1930
2017-06-06 12:30:24,4,3135,3893
2017-06-06 12:30:24,9,786,1332
2017-06-06 12:30:24,6,1292,3113
2017-06-06 12:57:21,0,614,2813
2017-06-06 12:57:21,2,609,697
2017-06-06 12:57:21,7,1394,2019
2017-06-06 12:57:21,4,3146,3893
2017-06-06 12:57:21,5,207,587
2017-06-06 12:57:21,6,1229,3113
2017-06-06 12:57:21,9,794,1332
2017-06-06 12:57:21,1,339,397
2017-06-06 12:57:21,3,1431,1930
2017-06-06 12:57:21,8,1353,2947
2017-06-06 13:30:21,8,1349,2947
2017-06-06 13:30:21,9,788,1332
2017-06-06 13:30:21,4,3139,3893
2017-06-06 13:30:21,2,594,697
2017-06-06 13:30:21,0,601,2813
2017-06-06 13:30:21,6,1205,3113
2017-06-06 13:30:21,7,1373,2019
2017-06-06 13:30:21,5,217,587
2017-06-06 13:30:21,3,1428,1930
2017-06-06 13:30:21,1,334,397
2017-06-06 13:57:22,4,3143,3893
2017-06-06 13:57:22,0,590,2813
2017-06-06 13:57:22,6,1187,3113
2017-06-06 13:57:22,5,209,587
2017-06-06 13:57:22,3,1430,1930
2017-06-06 13:57:22,7,1372,2019
2017-06-06 13:57:22,2,591,697
2017-06-06 13:57:22,9,790,1332
2017-06-06 13:57:22,8,1346,2947
2017-06-06 13:57:22,1,337,397
2017-06-06 14:30:23,5,184,587
2017-06-06 14:30:23,3,1397,1930
2017-06-06 14:30:23,6,1133,3113
2017-06-06 14:30:23,8,1280,2947
2017-06-06 14:30:23,1,316,397
2017-06-06 14:30:23,4,3064,3893
2017-06-06 14:30:23,7,1315,2019
2017-06-06 14:30:23,9,745,1332
2017-06-06 14:30:23,2,579,697
2017-06-06 14:30:23,0,550,2813
2017-06-06 15:04:22,5,167,587
2017-06-06 15:04:22,3,1355,1930
2017-06-06 15:04:22,2,556,697
2017-06-06 15:04:22,6,1090,3113
2017-06-06 15:04:22,8,1255,2947
2017-06-06 15:04:22,1,305,397
2017-06-06 15:04:22,7,1277,2019
2017-06-06 15:04:22,9,730,1332
2017-06-06 15:04:22,4,2930,3893
2017-06-06 15:04:22,0,518,2813
2017-06-06 15:31:22,4,2757,3893
2017-06-06 15:31:22,5,162,587
2017-06-06 15:31:22,2,528,697
2017-06-06 15:31:22,8,1200,2947
2017-06-06 15:31:22,3,1278,1930
2017-06-06 15:31:22,9,705,1332
2017-06-06 15:31:22,0,499,2813
2017-06-06 15:31:22,7,1224,2019
2017-06-06 15:31:22,6,1041,3113
2017-06-06 15:31:22,1,296,397
2017-06-06 16:04:23,8,1132,2947
2017-06-06 16:04:23,3,1179,1930
2017-06-06 16:04:23,1,269,397
2017-06-06 16:04:23,4,2551,3893
2017-06-06 16:04:23,9,665,1332
2017-06-06 16:04:23,0,443,2813
2017-06-06 16:04:23,5,144,587
2017-06-06 16:04:23,7,1166,2019
2017-06-06 16:04:23,2,510,697
2017-06-06 16:04:23,6,982,3113
2017-06-06 16:30:27,5,138,587
2017-06-06 16:30:27,2,488,697
2017-06-06 16:30:27,1,256,397
2017-06-06 16:30:27,6,916,3113
2017-06-06 16:30:27,8,1034,2947
2017-06-06 16:30:27,4,2256,3893
2017-06-06 16:30:27,3,1037,1930
2017-06-06 16:30:27,7,1110,2019
2017-06-06 16:30:27,9,631,1332
2017-06-06 16:30:27,0,406,2813
2017-06-07 08:03:27,6,756,3113
2017-06-07 08:03:27,9,399,1332
2017-06-07 08:03:27,2,432,697
2017-06-07 08:03:27,5,67,587
2017-06-07 08:03:27,4,1049,3893
2017-06-07 08:03:27,7,822,2019
2017-06-07 08:03:27,8,527,2947
2017-06-07 08:03:27,3,596,1930
2017-06-07 08:03:27,0,198,2813
2017-06-07 08:03:27,1,114,397
2017-06-07 08:30:27,1,135,397
2017-06-07 08:30:27,3,747,1930
2017-06-07 08:30:27,4,1418,3893
2017-06-07 08:30:27,2,452,697
2017-06-07 08:30:27,6,830,3113
2017-06-07 08:30:27,7,880,2019
2017-06-07 08:30:27,0,259,2813
2017-06-07 08:30:27,9,437,1332
2017-06-07 08:30:27,8,664,2947
2017-06-07 08:30:27,5,70,587
2017-06-07 09:04:13,6,951,3113
2017-06-07 09:04:13,2,510,697
2017-06-07 09:04:13,9,498,1332
2017-06-07 09:04:13,0,335,2813
2017-06-07 09:04:13,4,1890,3893
2017-06-07 09:04:13,5,84,587
2017-06-07 09:04:13,8,838,2947
2017-06-07 09:04:13,1,168,397
2017-06-07 09:04:13,7,999,2019
2017-06-07 09:04:13,3,909,1930
2017-06-07 09:30:27,2,540,697
2017-06-07 09:30:27,5,112,587
2017-06-07 09:30:27,8,926,2947
2017-06-07 09:30:27,4,2158,3893
2017-06-07 09:30:27,7,1071,2019
2017-06-07 09:30:27,6,1012,3113
2017-06-07 09:30:27,9,540,1332
2017-06-07 09:30:27,3,1022,1930
2017-06-07 09:30:27,0,381,2813
2017-06-07 09:30:27,1,192,397
2017-06-07 09:57:27,9,587,1332
2017-06-07 09:57:27,0,413,2813
2017-06-07 09:57:27,5,137,587
2017-06-07 09:57:27,7,1156,2019
2017-06-07 09:57:27,6,1085,3113
2017-06-07 09:57:27,2,578,697
2017-06-07 09:57:27,4,2380,3893
2017-06-07 09:57:27,1,208,397
2017-06-07 09:57:27,8,988,2947
2017-06-07 09:57:27,3,1134,1930
2017-06-07 10:30:27,3,1195,1930
2017-06-07 10:30:27,4,2525,3893
2017-06-07 10:30:27,6,1147,3113
2017-06-07 10:30:27,0,456,2813
2017-06-07 10:30:27,5,181,587
2017-06-07 10:30:27,7,1232,2019
2017-06-07 10:30:27,9,626,1332
2017-06-07 10:30:27,2,615,697
2017-06-07 10:30:27,8,1050,2947
2017-06-07 10:30:27,1,233,397
2017-06-07 10:57:30,9,652,1332
2017-06-07 10:57:30,2,631,697
2017-06-07 10:57:30,3,1238,1930
